SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
1607,16/08/2016,Joolz,Mumbai,eCommerce,Online Jewellery Store,"Powerhouse Ventures, M&S Partners",Private Equity,500000,
1608,16/08/2016,SaleBhai,Ahmedabad,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Brand Capital,Private Equity,1500000,
1609,16/08/2016,Makkajai,Pune,Technology,Online & Mobile learning for kids,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000,
1610,16/08/2016,Gradopedia,Mumbai,Consumer Internet,Career progression Portal,Undisclosed Dubai based HNIs,Seed Funding,,
1611,17/08/2016,MaalGaadi,Indore,Logistics,Online Logistics Marketplace,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,375000,
1612,17/08/2016,ZiPi,Bangalore,Technology,Mobile Chatbot App,Swan Angel Network,Seed Funding,,
1613,17/08/2016,Appknox,Bangalore,Technology,Mobile security solutions,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000,
1614,17/08/2016,Pikkol,Bangalore,Logistics,Packers & Movers,Indian Angel Network,Seed Funding,,
1615,18/08/2016,Meesho,Bangalore,eCommerce,Mobile based eCommerce SAAS platform,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,,
1616,18/08/2016,Sesame Software,Kozhikode,Technology,Financial Technology Solutions Provider,Speridian Technologies,Private Equity,,
1617,19/08/2016,Quikr,Mumbai,Consumer Internet,Classified Listings platform,Brand Capital,Private Equity,20000000,
1618,19/08/2016,Digio,Bangalore,Technology,Aadhar based Document Signing platform,Rainmatter,Private Equity,375000,
1619,19/08/2016,Ziffity,Chennai,Technology,Full Service Ecommerce Agency,Aspire Systems,Private Equity,,
1620,22/08/2016,Zzungry,Bangalore,Consumer Internet,Food Delivery platform,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,,
1621,22/08/2016,Puro Wellness,Mumbai,healthcare,"Organic,  Natural  Food substitute manufacturer",Torrent Group,Private Equity,37000000,
1622,22/08/2016,Fitternity,Mumbai,Consumer Internet,Fitness Gym & Services Discovery platform,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,,
1623,23/08/2016,TAC Security,New Delhi,Technology,Cyber-Security Solutions Provider,Vijay Kedia,Seed Funding,,
1624,23/08/2016,Notesgen,New Delhi,Consumer Internet,Online Notes Sharing Portal,"Riju Gupta, Kamal Chabra",Seed Funding,100000,
1625,23/08/2016,NearU,Mumbai,Consumer Internet,Marketing app for retailers,Dr. Goutam Challagalla,Seed Funding,,
1626,23/08/2016,Octo.ai,New Delhi,Technology,Artificial Intelligence based marketing platform,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000,
1627,24/08/2016,ShaadiSaga,New Delhi,Consumer Internet,Wedding Website Creator,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,,
1628,24/08/2016,UnaAcademy,Bangalore,Consumer Internet,Free Interactive education platform,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,  Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000,
1629,24/08/2016,Advenio,Chandigarh,Technology,Clinical Imaging Solution Provider,Kalaari Capital,Seed Funding,100000,
1630,24/08/2016,Guarented,Bangalore,eCommerce,Home Furnishing rental marketplace,Kalaari Capital,Seed Funding,500000,
1631,24/08/2016,Beyond Evolution,Gurgaon,Technology,Mobile Apps & Tech Services provider,"Vineet Taneja, Kamal Puri",Seed Funding,,
1632,24/08/2016,Uber Dreams,Mumbai,eCommerce,Dreams fulfilling marketplace,Mohit Lalvani,Seed Funding,500000,
1633,24/08/2016,Convegenius,Noida,Education,Edutainment platform,Michael and Susan Dell Foundation,Private Equity,900000,
1634,24/08/2016,UrbanLadder,Mumbai,eCommerce,Online Furniture Store,Trifecta Capital,Private Equity,3000000,
1635,24/08/2016,enCashea,Bangalore,Consumer Internet,Scrap Collection and Recycling platform,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,,
1636,25/08/2016,EngineerBabu,Indore,Technology,Mobile App & Web Development company,Scale Ventures,Seed Funding,,
1637,25/08/2016,Cult,Bangalore,Healthcare,Health and Fitness Centres,CureFit,Private Equity,3000000,
1638,25/08/2016,WitWorks,Bangalore,Technology,Consumer IoT Startup,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,,
1639,25/08/2016,NearFox,Mumbai,Consumer Internet,Local Lifestyle Content and Discovery Platform,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,  Arpan Nagdeve",Seed Funding,,
1640,25/08/2016,ZoomCar,Bangalore,Consumer Internet,Self-driven car booking platform,Ford Smart Mobility Llc,Private Equity,24000000,
1641,26/08/2016,Plix,Gurgaon,Consumer Internet,Photo and Video Sharing App,Instalabs,Seed Funding,500000,
1642,26/08/2016,Mobikwik,Gurgaon,Consumer Internet,Digital Wallet platform,Net1 UEPS Technologies Inc,Private Equity,40000000,
1643,26/08/2016,MyDidi,Mumbai,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000,
1644,26/08/2016,CrownIt,Gurgaon,Consumer Internet,Cashback Mobile app,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,,
1645,29/08/2016,LoanTap,Mumbai,Consumer Internet,Lending platform for Salaried professionals,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000,
1646,29/08/2016,Runnr,Bangalore,Consumer Internet,hyperlocal Logistics services provider,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000,
1647,29/08/2016,Zolo,Noida,Consumer Internet,on-demand online talent marketplace,Hitouch AG,Private Equity,,
1648,29/08/2016,Notion Press,Chennai,Consumer Internet,Self-Publishing books platform,Undisclosed HNI investors,Private Equity,1000000,
1649,29/08/2016,LivSpace,Bangalore,Consumer Internet,Online portal for Home Design,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000,
1650,30/8/2016,iAugmentor Labs,Gurgaon,Technology,Assessment & Learning Platform,Rajasthan Angel Investor Network & Others,Seed Funding,149000,
1651,30/8/2016,DayBox,New Delhi,Consumer Internet,Fruit & Vegetable Delivery platform,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000,
1652,30/8/2016,Paytm,Bangalore,eCommerce,Mobile Wallet & ECommerce platform,MediaTek Inc.,Private Equity,60000000,
1653,30/8/2016,CropIn,Bangalore,Technology,Agriculture Technology Solutions,Sophia Investment ApS,Private Equity,2000000,
1654,30/8/2016,Canvera,Bangalore,Consumer Internet,Photographer Discovery & Information platform,Info Edge (India) Ltd,Private Equity,3000000,
1655,30/8/2016,Prime Focus Technologies,Mumbai,Technology,Hybrid Cloud technology enabled Media ERP platform,Ambit Pragma,Private Equity,,
1656,31/8/2016,Flyrobe,Mumbai,eCommerce,Online fashion rental platform,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000,
1657,31/8/2016,inclov,Mumbai,Consumer Internet,Matchmaking App for Disabled,"Sarbvir Singh, Raghav Bahl",Seed Funding,,
1658,2016-01-09 00:00:00,Mad Street Den,Chennai,Technology,Artificial Intelligence platform,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,,
1659,2016-01-09 00:00:00,Mihup,Kolkata,Technology,Personal Digital Assistant,Accel Partners,Private Equity,6700000,
1660,2016-01-09 00:00:00,Renowala,Hyderabad,eCommerce,Home Improvement Marketplace,Pradeep Dhobale,Seed Funding,,
1661,2016-01-09 00:00:00,Lucideus,New Delhi,Technology,IT Risk Assessment and Digital Security Services provider.,Amit Choudhary,Seed Funding,,
1662,2016-04-09 00:00:00,Trackbizz,Kochi,Technology,Field Force Automation System,Grasshoppers,Private Equity,,
1663,2016-05-09 00:00:00,Social Quotient,Mumbai,Technology,Platform for Social Causes,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,,
1664,2016-05-09 00:00:00,Stalk Buy Love,New Delhi,eCommerce,Fashion Apparel eTailer,William Bissel,Seed Funding,,
1665,2016-06-09 00:00:00,eShakti,Chennai,eCommerce,Women’s Fashion Apparel eTailer,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000,
1666,2016-06-09 00:00:00,CheersOye!,Mumbai,Consumer Internet,Online Gift Vouchers platform,Undisclosed Investors,Seed Funding,500000,
1667,2016-06-09 00:00:00,Lenskart,New Delhi,eCommerce,Online Eyewear eTailer,PremjiInvest,Private Equity,,
1668,2016-06-09 00:00:00,BigStylist,Mumbai,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Info Edge (India) Ltd,Private Equity,900000,
1669,2016-07-09 00:00:00,Zilingo,Bangalore/ Bangkok,eCommerce,Online Fashion Retailer,"Venturra Capital, Sequoia India, Susquehanna International Group.  Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000,
1670,2016-07-09 00:00:00,Alternacare,New Delhi,Consumer Internet,Online Doctor Consulting platform,Eros Labs,Seed Funding,500000,
1671,2016-07-09 00:00:00,Simplilearn,Bangalore,Education,Online Certification programs,InnoVen Capital India,Private Equity,6000000,
1672,2016-07-09 00:00:00,Prozo,Gurgaon,eCommerce,Study Material Marketplace,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,315000,
1673,2016-08-09 00:00:00,TopRankers,Bangalore,Education,Online Test Preparation platform,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,670000,
1674,2016-08-09 00:00:00,BuildTraders,Bangalore,eCommerce,Online Construction Materials Marketplace,Idein Ventures,Seed Funding,200000,
1675,2016-09-09 00:00:00,Byju’s,Bangalore,Education,Online Learning App,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000,
1676,2016-09-09 00:00:00,NoBroker,Bangalore,Consumer Internet,Online Home Rental platform,Anand Chandrasekaran,Seed Funding,,
1677,2016-10-09 00:00:00,Freshboxx,Hubli,eCommerce,Fruits & vegetable eTailer,Ravi Linganuri,Seed Funding,,
1678,2016-10-09 00:00:00,CureInstant,New Delhi,Consumer Internet,Social Health Networking Platform,Dr. Rameshwar Kumar,Seed Funding,150000,
1679,2016-10-09 00:00:00,Poshtic,Noida,Consumer Internet,Online health & Wellness platform,"havya Sharma, Amit Nagar",Seed Funding,450000,
1680,2016-10-09 00:00:00,KarmaCircles,New Delhi,Consumer Internet,Peer-to-peer Social Learning platform,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,,
1681,2016-12-09 00:00:00,Purple Style Labs,Mumbai,Consumer Internet,Personal Styling Online platform,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,448000,
1682,2016-12-09 00:00:00,Inuxu,Pune,Technology,Online Advertising Solutions,Fork Media,Private Equity,3000000,
1683,2016-12-09 00:00:00,Nykaa,Mumbai,eCommerce,Online Beauty products eTailer,"Sunil Munjal, Mariwala family",Private Equity,12300000,
1684,2016-12-09 00:00:00,Glam Studios,Noida,Consumer Internet,Beauty Salon Aggregator,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,300000,
1685,13/9/2016,Findow,Bangalore,Consumer Internet,Fashion Discovery Mobile app,Raj Singh Bhandal,Seed Funding,,
1686,13/9/2016,IdeaChakki,Delhi,Consumer Internet,Restaurant Menu & Food mobile app,Ratan Tata,Seed Funding,,
1687,13/9/2016,ShoeKonnect,Agra,eCommerce,Footwear & Leather B2B App,Indian Angels Network,Seed Funding,,
1688,13/9/2016,NearBuy,Gurgaon,Consumer Internet,Online Deals & Discount platform,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000,
1689,14/9/2016,ZeroInfy,Kolkata,Consumer Internet,Online Video Lectures platform,Calcutta Angels Network,Seed Funding,,
1690,14/9/2016,Flocareer,Bangalore,Consumer Internet,Jobs & Skill Validation platform,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,150000,
1691,14/9/2016,LensPick,Bangalore,eCommerce,eyewear eTailer,Scadea Solutions Inc,Private Equity,,
1692,15/9/2016,infeedo,Gurgaon,Consumer Internet,Employee engagement platform,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,  Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,200000,
1693,15/9/2016,Furlenco,Bangalore,eCommerce,Online furniture rental startup,Lightbox Ventures and others,Private Equity,5000000,
1694,15/9/2016,GoPigeon,Bangalore,Consumer Internet,on-demand logistics service provider,Nexus Venture Partners,Private Equity,1500000,
1695,16/9/2016,NewsDistill,Hyderabad,Consumer Internet,City based News Aggregator App,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,100000,
1696,16/9/2016,DoctorInsta,Gurgaon,Consumer Internet,Online Doctor Consultations,RoundGlass Partners,Private Equity,1000000,
1697,19/9/2016,Milofy,Bangalore,Consumer Internet,Couple Socialization App,Accel Partners,Seed Funding,750000,
1698,19/9/2016,Liqvid,New Delhi,Technology,Integrated eLearning content solutions,Gray Matters Capital,Private Equity,,
1699,19/9/2016,Swiggy,Bangalore,Consumer Internet,Online Food Ordering & Delivery,Bessemer Venture Partners,Private Equity,15000000,
1700,20/9/2016,Codemojo,Bangalore,Consumer Internet,Customer Engagement Platform,CIO Angel Network,Seed Funding,,
1701,20/9/2016,JustLikeNew,Hyderabad,eCommerce,Online gadget Repair Services Marketplace,LetsVenture,Seed Funding,500000,
1702,20/9/2016,JoeHukum,New Delhi,Technology,Enterprise customer engagement solutions,Sumit Jain,Seed Funding,,
1703,21/9/2016,Co Life,Bangalore,Consumer Internet,shared living and working spaces platform,Undisclosed Investors,Seed Funding,1000000,
1704,21/9/2016,PurpleDocs,Vadodara,Consumer Internet,Electronic Health care records platform,"KellyGamma, Lead Angels & Others",Seed Funding,,
1705,21/9/2016,Pepperfry,Mumbai,eCommerce,Furniture eTailer,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000,
1706,21/9/2016,eQuickies,Ahmedabad,eCommerce,Online Book etailer,Lothal Angel Ventures,Seed Funding,298000,
1707,21/9/2016,Khel Now,New Delhi,Consumer Internet,Mobile-based social networking platform,Anglian Omega Network,Seed Funding,350000,
1708,22/9/2016,Gadgetwood,New Delhi,Consumer Internet,On-Demand Gadget repair services platform,Carpediem Capital,Private Equity,6000000,
1709,22/9/2016,DailyRounds,Bangalore,Consumer Internet,Mobile App for Doctors,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,,
1710,22/9/2016,Flixy Games,Bangalore,Technology,Mobile Game Publisher for Indian audience,Rebright Partners,Seed Funding,425000,
1711,22/9/2016,HashTaag,Bangalore,Technology,Mobile App Development company,Undisclosed investors,Seed Funding,1000000,
1712,22/9/2016,PharmaRack,Pune,Technology,SAAS application for Pharma Industry,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000,
1713,23/9/2016, CloudCherry,Chennai,Technology,CRM SAAS Platform,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000,
1714,23/9/2016,Parentlane,Bangalore,Consumer Internet,Social Platform for babycare and parenting,Rohit MA,Seed Funding,,
1715,23/9/2016,First Moms Club,Mumbai,Consumer Internet,Social Network for Mothers,Idea Wave Labs,Seed Funding,,
1716,23/9/2016,inMotion,Noida,Technology,Financial platform for daily wage earning communities,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,,
1717,26/9/2016,Let’s Barter,New Delhi,Consumer Internet,Goods & Services Barter Platform,Scale Ventures Funds,Seed Funding,,
1718,26/9/2016,EvenGini,Chennai,Consumer Internet,Event Registration and Ticketing platform,Procam International Pvt. Ltd,Private Equity,,
1719,27/9/2016,TinyStep,Bangalore,Consumer Internet,Parenting Network Platform,Flipkart Logistics Pvt. Ltd,Private Equity,1580000,
1720,27/9/2016,Canvs,Mumbai,Consumer Internet,Community Platform for Artists and Designers,Pratik Seal,Seed Funding,,
1721,28/9/2016,Beardo,Ahmedabad,eCommerce,Mens Grooming products etailer,Venture Catalysts,Seed Funding,500000,
1722,28/9/2016,Instacar,Indore,Consumer Internet,Out-Station Taxi Rental Platform,Swastika Co Ltd.,Seed Funding,1000000,
1723,28/9/2016,Celes Care,Hyderabad,Consumer Internet,Virtual Health Clinic for Women,Endiya Partners,Seed Funding,1000000,
1724,28/9/2016,Druva,Pune,Technology,Cloud Based Data Protection Solution,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000,
1725,29/9/2016,Promon,New Delhi,eCommerce,Local Commerce Platform,Now Capital,Seed Funding,180000,
1726,29/9/2016,Fastudent,Noida,eCommerce,Education eCommerce platform,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,,
1727,29/9/2016,Unocoin,Bangalore,Consumer Internet,Bitcoin Wallet,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000,
1728,30/9/2016,Demyto,Pune,Consumer Internet,Vehicle maintenance Services platform,Deepak Nathani,Seed Funding,,
1729,30/9/2016,Zeta,Mumbai,Technology,Enterprise Cloud Solutions,Bhavin Turakhia,Private Equity,19000000,
1730,30/9/2016,Kalaage,Jaipur,Consumer Internet,Social Networking Platform for Writers,Rajasthan Angel Innovators Network,Seed Funding,,
1731,2016-03-10 00:00:00,MeraKisan,Bangalore,eCommerce,Fruit & vegetable eTailer,Mahindra Univeg,Seed Funding,,
1732,2016-03-10 00:00:00,Mystifly,Bangalore,Consumer Internet,Airline Ticket Aggregator,Recruit Holdings,Private Equity,5000000,
1733,2016-03-10 00:00:00,HelpChat,Bangalore,Consumer Internet,AI Powered Content & Commerce platform,"American Express Ventures, Sequoia Capital",Private Equity,,
1734,2016-03-10 00:00:00,Uniphore,Chennai,Technology,Speech Recognition Solutions,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,
1735,2016-03-10 00:00:00,World Art Community,Gurgaon,eCommerce,Art & Craft Marketplace,Viraj Tyagi & Others,Seed Funding,200000,
1736,2016-04-10 00:00:00,Giftxoxo,Bangalore,eCommerce,Online Gifting platform,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,
1737,2016-04-10 00:00:00,Bharat Bazaar,Mumbai,eCommerce,Online B2B Marketplace,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,,
1738,2016-04-10 00:00:00,GOQii,Mumbai,Consumer Internet,Health & Fitness Wearable Device,Ratan Tata,Private Equity,,
1739,2016-04-10 00:00:00,India Gifts Portal,Noida,eCommerce,Online Gifting platform,"Naveen Arya, Tarun Joshi",Private Equity,2000000,
1740,2016-04-10 00:00:00,Moglix,Noida,eCommerce,Industrial & Home products marketplace,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,
1741,2016-04-10 00:00:00,NetLinx,Hyderabad,Consumer Internet,Internet Service Provider,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,
1742,2016-04-10 00:00:00,Scandid,Pune,Consumer Internet,Product Shopping Comparison App,3One4 Capital,Private Equity,,
1743,2016-04-10 00:00:00,Remitr,Mumbai,Consumer Internet,Foreign Currency Payments Platform,"Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,1000000,
1744,2016-04-10 00:00:00,InnerChef,Gurgaon,Consumer Internet,Online food ordering platform,"Mistletoe, M&S Partners",Private Equity,2500000,
1745,2016-04-10 00:00:00,AppsDaily,Mumbai,Consumer Internet,"Mobile Phone Theft, Damage Protection platform","Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,
1746,2016-05-10 00:00:00,MuhurtMaza,Pune,Consumer Internet,Online Puja Booking Service,Undisclosed Investor,Seed Funding,,
1747,2016-05-10 00:00:00,Azuro,Mumbai,Consumer Internet,Rental Property Finder platform,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,,
1748,2016-05-10 00:00:00,NeuroSynaptic,Bangalore,Technology,Remote Healthcare Delivery Solutions,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,,
1749,2016-05-10 00:00:00,UE LifeSciences,Mumbai,Technology,Mobile Health Technology Solutions,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,
1750,2016-06-10 00:00:00,FindmeaShoe,Bangalore,Consumer Internet,Footwear Recommendation App,Ventureast Fund Advisors,Seed Funding,,
1751,2016-06-10 00:00:00,RealBox,Noida,Technology,Data Sciences Platform,Hyderabad Angels,Seed Funding,300000,
1752,2016-06-10 00:00:00,Sportido,Noida,Consumer Internet,Sports Discovery platform,Sumpoorna Group,Seed Funding,,
1753,2016-06-10 00:00:00,GoZefo,Bangalore,eCommerce,Used Furniture & Appliances Marketplace,"Helion Venture Partners, BeeNext",Private Equity,1050000,
1754,2016-07-10 00:00:00,RayIOT,Bangalore,Technology,Baby Monitoring Devices manufacturer,HAX Accelerator,Seed Funding,100000,
1755,2016-07-10 00:00:00,KOOH Sports,Mumbai,Technology,Sports Training & Technology,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000,
1756,2016-07-10 00:00:00,Flexiloans,Mumbai,Consumer Internet,Online Funds Raising Platform,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000,
1757,2016-07-10 00:00:00,Sibia Analytics,Kolkata,Technology,Marketing & Customer Analytics Solutions,Radhakrishnan Natarajan & Others,Seed Funding,,
1758,2016-10-10 00:00:00,Vithi.com,New Delhi,eCommerce,Online Hair Extension etailer,undisclosed investor,Seed Funding,375000,
1759,2016-11-10 00:00:00,Yupp TV,Bangalore,Consumer Internet,Internet-based TV streaming service provider,Emerald Media,Private Equity,50000000,
1760,2016-11-10 00:00:00,Deyor Camps,Gurgaon,Consumer Internet,Branded Camping location Aggregator,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,500000,
1761,2016-12-10 00:00:00,ZipLoan,New Delhi,Consumer Internet,online lending platform,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick",Seed Funding,,
1762,13/10/2016,FabAlley,Noida,ecommerce,online fashion brand store,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000,
1763,13/10/2016,Shoekonnect,Agra,eCommerce,B2B Marketplace for Shoes,Indian Angel Network,Seed Funding,,
1764,13/10/2016,Maya,Bangalore,Consumer Internet,Womens Health Tracker App,Rajan Anandan,Seed Funding,,
1765,13/10/2016,RoboVac,Ahmedabad,Technology,waterless car washing solution,Virendra Patel,Seed Funding,450000,
1766,14/10/2016,Newspatrolling,New Delhi,Consumer Internet,Online News portal,Undisclosed,Seed Funding,25000,
1767,14/10/2016,Postman,Bangalore,Consumer Internet,API Platform,Nexus Venture Partners,Private Equity,7000000,
1768,14/10/2016,ISFC,Hyderabad,Finance,Education Sector Lending,Gray Matters Capital,Private Equity,6000000,
1769,14/10/2016,BeatRoute,Gurgaon,Technology,SAAS based mobile application platform,Quarizon Consultancy Services LLP,Seed Funding,,
1770,14/10/2016,Kidsstoppress,Mumbai,Consumer Internet,Parenting and Baby care Platform,Karan Bhagat,Seed Funding,,
1771,14/10/2016,Innov8,Bangalore,Consumer Internet,Co-Working Spaces aggregator,Punit Soni,Seed Funding,,
1772,15/10/2016,DailyHunt,Bangalore,Consumer Internet,Vernacular content mobile app,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,25000000,
1773,15/10/2016,Tazzo Bikes,Hyderabad,Consumer Internet,Motorbike rental platform,DSG Consumer Partners,Seed Funding,227000,
1774,15/10/2016,MyKindofJob,Mumbai,Consumer Internet,Internet & Fresher Job platform,"Mayank Shah, Shreyans Shah",Seed Funding,1000000,
1775,17/10/2016,Trilyo,Bangalore,Technology,B2B SAAS based product,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,,
1776,17/10/2016,Rooter,New Delhi,Consumer Internet,Sports Social Network mobile app,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,,
1777,17/10/2016,Yumigo,Gurgaon,Consumer Internet,App based Travel Discovery and Transactions platform,Hemant Sahni,Seed Funding,300000,
1778,17/10/2016,Rentalpha,Mumbai,Others,equipment rental and leasing company,Bravia Capital,Private Equity,16000000,
1779,18/10/2016,3Dexter,New Delhi,Technology,3D Printing Solutions for Edu space,Newbie Promoters,Seed Funding,150000,
1780,18/10/2016,BabyChakra,Mumbai,Consumer Internet,Parenting and Child Care portal,RoundGlass Partners,Private Equity,,
1781,18/10/2016,Coppre,Pune,eCommerce,Copper based items etailer,Ganesh Natarajan,Seed Funding,,
1782,18/10/2016,MySUN,Noida,Technology,Solar Energy harnessing products marketplace,General Catalyst Partners,Private Equity,2500000,
1783,18/10/2016,ePathsala,Bangalore,Technology,Cloud based ERP for Accreditation & ICT,"Hyderabad Angels, TLabs",Seed Funding,,
1784,19/10/2016,Furlenco,Bangalore,Consumer Internet,Online Furniture Rental platform,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000,
1785,19/10/2016,Fisdom,Bangalore,Consumer Internet,Personal Wealth Management Platform & App,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000,
1786,19/10/2016,Actofit,Mumbai,Technology,Wearable Technology platform & devices,Next Orbit Ventures Fund,Private Equity,750000,
1787,20/10/2016,Stayology,Bangalore,Consumer Internet,Stay & Travel related services,Ranjan Pai,Seed Funding,,
1788,20/10/2016,Hipcask,Mumbai,Consumer Internet,Alcoholic beverage discovery platform,Mobikon,Seed Funding,,
1789,20/10/2016,RailYatri,Noida,Consumer Internet,Train Travel Info mobile app,"Helion Ventures, Blume ventures",Private Equity,,
1790,21/10/2016,ChatOnGo,Mumbai,Consumer Internet,Hyperlocal  Communication Mobile app,Janak Jain,Seed Funding,300000,
1791,23/10/2016,WOTU,Bangalore,eCommerce,B2B Marketplace for traders,KAE capital,Seed Funding,,
1792,24/10/2016,Healthians,Gurgaon,Consumer Internet,Health Test Discovery & Ordering service,BEENEXT,Private Equity,3000000,
1793,24/10/2016,Box8,Mumbai,Consumer Internet,Online Food Ordering platform/App,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000,
1794,25/10/2016,Kredx,Bangalore,eCommerce,Invoice discounting marketplace,Sequoia Capital,Private Equity,6000000,
1795,25/10/2016,CreditMate,Mumbai,Consumer Internet,Credit Report Info platform,India Quotient,Seed Funding,500000,
1796,25/10/2016,Pickrr,New Delhi,Technology,Courier Logistics & Order management Solutions,Swastika Company Ltd,Seed Funding,,
1797,25/10/2016,SatvaKart,Gurgaon,eCommerce,Online Grocery Etailer,Nimit Panigrahi,Seed Funding,,
1798,25/10/2016,SooperMO,Gurgaon,Technology,Android utility app suite creator,Lalit Vase,Seed Funding,100000,
1799,26/10/2016,OrangeTwig,New Delhi,Consumer Internet,Social Media Marketing platform,Undisclosed investor,Seed Funding,1000000,
