SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
989,18/01/2016,Voice Friends,Mumbai,Consumer Internet,Dating & Singles Chat Platform,Huzaifa Khorakiwala,Seed Funding,,
990,18/01/2016,Kartrocket,New Delhi,Consumer Internet,SAAS DIY  ECommerce Platform,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000,
991,19/01/2016,Swiggy,Bangalore,Consumer Internet,Online/Mobile food ordering platform,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000,
992,19/01/2016,TinyStep,Bangalore,Consumer Internet,Parenting Social Network,Flipkart,Seed Funding,,
993,19/01/2016,Cashkaro,Gurgaon,Consumer Internet,Coupon & Cashback platform,Ratan Tata,Private Equity,,
994,19/01/2016,Gameezop,New Delhi,Consumer Internet,Casual Gaming platform,Anand Chandrasekaran & Others,Seed Funding,,
995,19/01/2016,DailyObjects,New Delhi,ECommerce,Mobile Accessories etailer,"Unilazer Fund,  Phanindra Sama, Peyush Bansal",Private Equity,1400000,
996,19/01/2016,Indus OS,Mumbai,Technology,Local language Mobile OS,"Omidyar Network,",Private Equity,5000000,
997,19/01/2016,CollegeDunia,New Delhi,Consumer Internet,Educational College Search platform,Umang Kumar,Seed Funding,445000,
998,19/01/2016,Villgro,Chennai,Finance,Social Business Incubator & Fund,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000,
999,20/01/2016,Reddoorz,New Delhi,Consumer Internet,Budget Accomodation Aggregator,500 Startups,Private Equity,,
1000,20/01/2016,IndustryBuying,New Delhi,ECommerce,B2B Industrial Goods Marketplace,Trifecta Capital,Private Equity,1800000,
1001,20/01/2016,Just Buy Live,Mumbai,ECommerce,B2B Marketplace for Distributors,Alpha Capital,Private Equity,20000000,
1002,20/01/2016,IMbesharam,New Delhi / US,ECommerce,Adult Products Etailers,Undisclosed US Based Investors,Private Equity,4000000,
1003,20/01/2016,Moodoo,Mumbai / UK,Consumer Internet,Social Meeting organizer App,Saïd Business School Seed Fund.,Seed Funding,40000,
1004,20/01/2016,Saral Designs,Mumbai,Healthcare,Women Hygiene Product Manufacturer,"Farooq Adam, Ambi Parameswaran,",Seed Funding,,
1005,21/01/2016,FirstCry,Pune,ECommerce,Kids Focused eTailer,Ratan Tata,Private Equity,,
1006,21/01/2016,Fisdom,Bangalore,Consumer Internet,Personal Finance Mobile App,Rob Chandra,Seed Funding,500000,
1007,21/01/2016,Easypolicy,Noida,Consumer Internet,Online insurance policy aggregator,Unilazer Ventures,Private Equity,2200000,
1008,21/01/2016,Housing.com,Mumbai,Consumer Internet,Online Real Estate Portal,SoftBank Corp,Private Equity,15000000,
1009,21/01/2016,CREO,Bangalore,Technology,Smartphone OS Developer,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,3000000,
1010,22/01/2016,ShabdaNagari,Kanpur,Consumer Internet,Hindi Language Social Networking Portal,Kanpur Angels & Others,Seed Funding,200000,
