startup_name,sector,city,total_raised,total_rounds,latest_round,last_raise,months_since_raise,recency_score,momentum_score,scale_score,stage_score_norm,health_score,risk_flag
Visit,Healthcare,Delhi,0.0,2,Private Equity,2018-04-22,21.0,65.68627450980392,25.0,0.0,83.33333333333334,45.9,MEDIUM RISK - No raise in 18+ months
Ziploan,Consumer Internet,Delhi,3650000.0,3,Private Equity,2017-10-24,27.0,55.88235294117647,37.5,0.08485514645300837,83.33333333333334,45.6,HIGH RISK - No raise in 24+ months
Vedantu,Ed-Tech,Bengaluru,15000000.0,2,Private Equity,2018-04-05,21.6,64.70588235294117,25.0,0.34871977994387005,83.33333333333334,45.6,MEDIUM RISK - No raise in 18+ months
Autogrid,Technology,Bengaluru,32000000.0,1,Private Equity,2018-09-11,16.3,73.36601307189542,12.5,0.7439355305469229,83.33333333333334,45.6,"WATCH - Single round, going cold"
Upwards,Fin-Tech,Mumbai,5000000.0,1,Private Equity,2018-09-11,16.3,73.36601307189542,12.5,0.11623992664795668,83.33333333333334,45.5,"WATCH - Single round, going cold"
Happygoeasy,Consumer Internet,Gurgaon,0.0,1,Private Equity,2018-09-04,16.5,73.0392156862745,12.5,0.0,83.33333333333334,45.4,"WATCH - Single round, going cold"
Daily Hunt,Consumer Internet,Bengaluru,6390000.0,1,Private Equity,2018-09-03,16.6,72.87581699346404,12.5,0.14855462625608865,83.33333333333334,45.3,"WATCH - Single round, going cold"
Cure Fit,Consumer Internet,Bengaluru,120000000.0,1,Private Equity,2018-07-30,17.7,71.07843137254902,12.5,2.7897582395509604,83.33333333333334,45.2,"WATCH - Single round, going cold"
Wooplr,eCommerce,Bengaluru,8000000.0,4,Private Equity,2017-04-20,33.3,45.58823529411765,50.0,0.1859838826367307,83.33333333333334,45.2,HIGH RISK - No raise in 24+ months
Narvar,IT,Bengaluru,3000000.0,1,Private Equity,2018-08-28,16.8,72.54901960784314,12.5,0.06974395598877402,83.33333333333334,45.2,"WATCH - Single round, going cold"
Five Star Group,Fin-Tech,Chennai,100000000.0,1,Private Equity,2018-07-31,17.7,71.07843137254902,12.5,2.324798532959134,83.33333333333334,45.1,"WATCH - Single round, going cold"
Pitstop,Consumer Internet,Bengaluru,1000000.0,3,Private Equity,2017-09-27,27.9,54.41176470588236,37.5,0.02324798532959134,83.33333333333334,45.1,HIGH RISK - No raise in 24+ months
Phone Pe,Consumer Internet,Bengaluru,66000000.0,1,Private Equity,2018-08-08,17.4,71.56862745098039,12.5,1.5343670317530282,83.33333333333334,45.1,"WATCH - Single round, going cold"
Power2Sme,eCommerce,Gurgaon,57000000.0,3,Private Equity,2017-09-06,28.6,53.26797385620915,37.5,1.3251351637867064,83.33333333333334,45.0,HIGH RISK - No raise in 24+ months
Tinmen,Consumer Internet,Hyderabad,0.0,3,Private Equity,2017-09-25,28.0,54.248366013071895,37.5,0.0,83.33333333333334,45.0,HIGH RISK - No raise in 24+ months
Book My Show,Consumer Internet,Mumbai,100000000.0,1,Private Equity,2018-07-19,18.1,70.42483660130719,12.5,2.324798532959134,83.33333333333334,44.9,MEDIUM RISK - No raise in 18+ months
Metro Bikes,Consumer Internet,Bengaluru,12200000.0,1,Private Equity,2018-08-08,17.4,71.56862745098039,12.5,0.2836254210210143,83.33333333333334,44.9,"WATCH - Single round, going cold"
