startup_name,total_rounds,first_round,last_round,total_raised
Chillr,2,2015-10-03,2015-12-10,76000000.0
Satvacart,2,2015-11-06,2016-07-15,1800000.0
Scandid,2,2015-10-07,2016-10-04,0.0
Scripbox,2,2015-08-12,2016-06-30,2500000.0
Servify,2,2016-04-05,2016-11-24,0.0
Shadowfax,2,2015-08-17,2015-09-14,9310000.0
Chumbak,2,2017-07-14,2017-11-28,14700000.0
Sheroes,2,2015-08-12,2016-08-02,2570000.0
Shirsa Labs,2,2015-11-04,2018-02-14,750000.0
Shoekonnect,2,2016-09-13,2016-10-13,0.0
Wickedride,2,2015-07-14,2018-06-22,9890000.0
Clevertap,2,2018-01-02,2019-04-11,26000000.0
Clovia,2,2015-06-09,2017-04-12,9000000.0
Shubh Loans,2,2017-09-05,2018-08-26,5700000.0
Connaizen,2,2017-01-20,2017-02-14,0.0
Connect India,2,2015-08-03,2016-11-04,6000000.0
Convegenius,2,2015-11-17,2016-08-24,1200000.0
Smaaash,2,2017-09-14,2017-11-27,47800000.0
Smartcoin,2,2017-04-03,2018-03-28,2000000.0
Smartcooky,2,2016-01-01,2016-02-05,0.0
Smartivity,2,2016-05-16,2018-05-24,3000000.0
Smytten,2,2015-11-17,2016-04-18,200000.0
Snapbizz,2,2016-01-22,2016-02-15,7200000.0
Snapdeal,2,2015-08-01,2016-02-15,700000000.0
Sports Flashes,2,2017-04-11,2017-08-14,0.0
Springboard,2,2015-12-17,2017-12-19,11200000.0
Squadrun,2,2015-02-25,2017-04-12,2100000.0
Coutloot,2,2016-06-02,2017-08-04,0.0
Stalk Buy Love,2,2016-09-05,2016-12-09,6000000.0
Craftsvilla,2,2015-11-17,2019-04-10,36443495.0
Stayglad,2,2015-06-29,2015-11-27,0.0
Stayzilla,2,2015-02-12,2016-05-13,33500000.0
Stitchwood,2,2015-07-04,2016-07-04,595000.0
Stockal,2,2015-10-21,2017-06-08,350000.0
Stockroom.Io,2,2015-10-09,2017-02-03,70000.0
Storeking,2,2015-02-10,2016-06-08,16000000.0
Styledotme,2,2016-02-22,2019-05-05,37000.0
Stylofie,2,2015-11-24,2016-02-10,250000.0
Sumeru,2,2017-05-03,2017-11-15,1900000.0
Crayon Data,2,2015-11-24,2017-11-07,0.0
Credihealth,2,2015-09-23,2017-04-17,1500000.0
Syona Cosmetics,2,2015-06-24,2016-06-21,150000.0
Tapchief,2,2016-04-15,2016-11-26,150000.0
Taskbob,2,2015-04-16,2016-02-22,5700000.0
Taxsutra,2,2015-02-25,2017-01-02,526000.0
Teabox,2,2015-03-25,2016-06-09,6000000.0
Testbook,2,2016-03-01,2017-04-03,0.0
The Ken,2,2017-02-17,2018-07-18,1900000.0
The Man Company,2,2015-09-22,2019-10-21,0.0
The Print,2,2017-05-23,2018-03-27,535000.0
The Wedding Brigade,2,2016-04-28,2018-01-29,1600000.0
Timesaverz,2,2015-08-19,2017-07-05,3400000.0
Creditmantri,2,2015-06-26,2017-03-02,10100000.0
Tinyowl,2,2015-02-26,2015-10-30,23500000.0
Crofarm,2,2016-08-12,2017-08-09,2283000.0
