startup_name,last_raise,sector,city,total_raised
Zivame,2015-09-02,Online Lingerie Marketplace,Bengaluru,40000000.0
Capillary Tech,2015-09-02,Cloud software solutions,Delhi,45000000.0
Jobspire,2015-09-03,Job Search Platform,Bengaluru,260000.0
Hijinny,2015-09-03,Beauty & Wellness Services Marketplace,Mumbai,0.0
Vistaar Finance,2015-09-03,Small Business Financing (NBFC),Bengaluru,40000000.0
Clapsnslaps,2015-09-04,Online Movie Review Platform,Mumbai,150000.0
Blubox,2015-09-04,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,Mumbai,100000.0
Roomcentral,2015-09-04,Cloud-based Hotel Booking Platform,Bengaluru,2000000.0
Youthkiawaaz,2015-09-07,Community Driven News/Views Platform,Delhi,600000.0
Sahayog Dairy,2015-09-07,Dairy Based Product Manufacturer,Bhopal,1800000.0
Gurug Learning,2015-09-08,Teacher empowerment platform,Bengaluru,0.0
Reportbee,2015-09-08,Smart Report Cards for Schools,Chennai,0.0
Mockbank,2015-09-08,Government Test Preparation platform,Bengaluru,400000.0
Onlinetyari,2015-09-10,Multilingual Test Preparation Platform,Gurgaon,770000.0
The/Nudge Foundation,2015-09-10,Non Profit Organization to alleviate poverty,Bengaluru,315000.0
Envoged,2015-09-11,pre-used luxury item Marketplace,Mumbai,0.0
Renomania,2015-09-11,Home Design & D\\xc3\\xa9cor platform,Delhi,0.0
Yatragenie,2015-09-12,Online Bus & Cab ticketing platform,Hyderabad,0.0
Credr,2015-09-12,Used Vehicles Marketplace,Mumbai,30000000.0
Shadowfax,2015-09-14,Hyperlocal Delivery Services,Gurgaon,9310000.0
Ue Life Sciences,2015-09-14,Early Cancer Detection Solutions,US/India,3000000.0
Canvasflip,2015-09-14,Mobile App testing platform,Hyderabad,1200000.0
Fyne,2015-09-15,Home Fitting & Fixtures Marketplace,Bengaluru,0.0
Tea Trails,2015-09-15,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,Mumbai,1000000.0
Xstok,2015-09-16,B2B Mobile Auction Marketplace,Mumbai,450000.0
Chaipoint,2015-09-16,Food Subscription platform,Bengaluru,10000000.0
Wedmegood.Com,2015-09-16,Wedding Planning Platform,Gurgaon,410000.0
Unilog,2015-09-17,ECommerce Data Analytics Platform,Bengaluru,0.0
Bueno,2015-09-17,Online Food ordering & delivery,Gurgaon,600000.0
Paintcollar,2015-09-17,Designer Merchandize Marketplace,Mumbai,0.0
Labstreet,2015-09-18,Diagnostic Labs aggregator platform,Gurgaon,150000.0
Plabro,2015-09-18,Real Estate Broker Platform App,Delhi,350000.0
Briston Technomach,2015-09-18,Internet of Things platform,Delhi,150000.0
Dailyninja,2015-09-19,Hyperlocal Delivery Platform,Bengaluru,0.0
Connectabank,2015-09-21,Financial Products lead generation platform,Mumbai,0.0
Portea Medical,2015-09-21,Home Medical Care Services,Bengaluru,37500000.0
Neotrade Analytics,2015-09-21,Real-Time stock data platform,Bengaluru,235000.0
Dishco,2015-09-21,Food discovery & table booking app,Mumbai,0.0
Bestdealfinance,2015-09-22,Financial Services Portal,Mumbai,3000000.0
Loginext,2015-09-22,End-to-end Logistics platform,Mumbai,10000000.0
Virtual Logic,2015-09-22,"virtual reality, 3d simulation and stereoscopic products",Bengaluru,800000.0
Villfarm,2015-09-22,Sustainable Agri-inputs Firm,Bengaluru,0.0
Furdo,2015-09-22,Online Interior Designing platform,Bengaluru,400000.0
Korra,2015-09-22,Private Label Apparel sales,Delhi,300000.0
Gamexs.In,2015-09-22,Pre-owned games Marketplace,Delhi,0.0
Juggernaut,2015-09-23,Digital & Physical Publishing platform,Delhi,2250000.0
Silverpush,2015-09-23,Cross-device retargeting platform,Gurgaon / SFO,1200000.0
Amigobulls,2015-09-23,Stock Market Portal,Bengaluru,0.0
Fourth Partner Energy,2015-09-24,Solar Power Solutions company,Hyderabad,2000000.0
Quintype,2015-09-24,Data Driven Publishing platform,Bengaluru,3300000.0
Capabiliti,2015-09-24,Employee OnBoarding & Orientation platform,Noida,400000.0
Travelkhana,2015-09-25,online meal-booking platform for train travelers,Delhi,0.0
